formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C27H53F2N5O5S	[M + H3N + H]+	C27H57F2N6O5S+	0.876	0.329	69.537	69.537	0.000	24	0.441	1.413	1.413	0.426		615.408	352	5.873	707605725290876929	707602844248537779	3786	
1	C16H26O2	[M - H2O + H]+	C16H25O+	1.000	0.500	199.540	196.612	2.928	50	0.949	4.285	4.285	-77229.215		233.191	352	5.874	707605763186413938	707602844382755531	3792	
1	C16H30F2O4	[M - H2O + H]+	C16H29F2O3+	0.251	0.247	85.699	85.699	0.000	20	0.354	3.577	4.310	-58627.412		307.208	352	5.874	707605669947034162	707602844227566255	3785	
1	C33H52O15	[M - H2O + H]+	C33H51O14+	0.693	0.500	39.556	32.825	6.730	9	0.558	-3.131	3.131	-26826.276		671.329	352	5.875	707605705590230615	707602844273703607	3787	
1	C33H49N9O7	[M - H2O + H]+	C33H48N9O6+	0.473	0.330	183.597	177.590	6.008	49	0.936	4.436	4.436	-27026.146		666.373	353	5.875	707605688758488259	707602844294675131	3788	
1	C19H32O4	[M + H]+	C19H33O4+	1.000	0.500	252.072	249.068	3.004	52	0.964	4.460	4.460	5.455		325.239	353	5.876	707605707116957292	707602844403727055	3793	
1	C19H32O4	[M - H2O + H]+	C19H31O3+	0.979	0.500	152.283	152.283	0.000	22	0.362	5.344	5.344	-58617.350		307.228	353	5.876	707605662195960028	707602844445670103	3795	
1	C14H32F2N4O3	[M - H2O + H]+	C14H31F2N4O2+	0.663	0.333	96.619	96.619	0.000	25	0.301	1.814	3.615	-55378.772		325.240	353	5.876	707605686501952598	707602844185623207	3783	
1	C20H30O4	[M - H2O + H]+	C20H29O3+	1.000	0.500	189.273	186.151	3.122	49	0.936	3.180	3.180	-56772.055		317.213	353	5.876	707605654625241002	707602844424698579	3794	
1	C13H25FO2	[M - H2O + H]+	C13H24FO+	0.996	0.500	46.382	46.382	0.000	10	0.044	-4.887	4.889	-83699.395		215.181	353	5.876	707605650598709022	707602844315646655	3789	
1	C31H56F3N3O8Si	[M - H2O + H]+	C31H55F3N3O7Si+	0.307	0.295	81.481	81.481	0.000	34	0.719	1.095	2.186	-27027.492		666.376	353	5.876	707605709147000469	707602844206594731	3784	
1	C5H8N2O3S2	[M - H2O + H]+	C5H7N2O2S2+	1.000	0.323	26.752	26.752	0.000	7	0.167	2.630	4.863	-94297.257		190.995	353	5.879	707605734535123113	707602843879438959	3769	
1	C12H28O3P	[M + H3N + H]+	C12H32NO3P+	1.000	1.000	70.073	70.073	0.000	8	0.258	4.409	4.409	4.525		269.213	353	5.882	707605633548862314	707602844361784007	3791	
1	C16H27FN4O	[M + H3N + H]+	C16H31FN5O+	0.979	0.333	50.392	50.392	0.000	12	0.283	2.346	4.402	-0.153		328.251	354	5.899	707605711701331659	707602844512778979	3798	
1	C17H31FO6	[M - H2O + H]+	C17H30FO5+	0.630	0.500	74.770	70.964	3.806	19	0.321	-1.991	2.091	-54056.417		333.206	354	5.903	707605665803061614	707602844554722027	3800	
1	C11H31B2ClN4O3Si	[M + H]+	C11H32B2ClN4O3Si+	0.503	0.495	75.499	75.499	0.000	30	0.703	0.144	1.993	-2.550		351.218	354	5.906	707605656646895682	707602844617636599	3803	
1	C14H32FN2O2P	[M + H]+	C14H33FN2O2P+	0.518	0.500	73.055	73.055	0.000	19	0.514	-2.126	2.126	-2.344		311.225	355	5.912	707605644902843964	707602844596665075	3802	
1	C23H36O17	[M + Na]+	C23H36NaO17+	1.000	1.000	143.745	143.043	0.702	41	0.766	-0.929	1.166	1.745		607.186	355	5.915	707606301324015059	707602844638608123	3804	
1	C11H27NO2P	[M + H3N + H]+	C11H31N2O2P+	1.000	1.000	93.187	93.187	0.000	25	0.575	4.578	5.500	4.519		254.213	356	5.926	707605770014740978	707602844705716999	3807	
1	C26H46N4O6S	[M + Na]+	C26H46N4NaO6S+	0.819	0.666	56.377	56.377	0.000	29	0.746	0.137	1.171	-0.640		565.303	356	5.926	707605771675685412	707602844684745475	3806	
